index,date,Wage_Date,MIP_sector_id,MIP_sector_name,Count_Workers,year,month,Count_Workers_sa,Count_Workers_trend,Count_Workers_sa_cycle
182,2023-03-01,2023-03-01,7,"Transport, communications and information services",73290,2023,3,72572.69222324346,72538.20833333333,-94.433466623188
183,2023-04-01,2023-04-01,7,"Transport, communications and information services",73299,2023,4,72772.1114940768,72169.5,91.70520026155282
184,2023-05-01,2023-05-01,7,"Transport, communications and information services",69000,2023,5,68908.53857741013,71826.54166666666,-3781.6084687964903
185,2023-06-01,2023-06-01,7,"Transport, communications and information services",68807,2023,6,69014.25472324346,71577.0,-3682.400830826242
186,2023-07-01,2023-07-01,7,"Transport, communications and information services",68394,2023,7,68941.72301368463,71444.87499999999,-3758.487231671126
187,2023-08-01,2023-08-01,7,"Transport, communications and information services",68350,2023,8,69134.65928819444,71329.125,-3566.4018462350214
188,2023-09-01,2023-09-01,7,"Transport, communications and information services",72095,2023,9,72654.83820976307,71208.375,-44.59102521928435
189,2023-10-01,2023-10-01,7,"Transport, communications and information services",72511,2023,10,72723.73128574346,71072.5,28.223243570289924
190,2023-11-01,2023-11-01,7,"Transport, communications and information services",72488,2023,11,72578.01513991013,71102.5,-111.47556718401029
191,2023-12-01,2023-12-01,7,"Transport, communications and information services",72349,2023,12,72127.06201491013,71296.83333333333,-554.5085836992366
192,2024-01-01,2024-01-01,7,"Transport, communications and information services",72476,2024,1,72086.06982741013,71474.95833333334,-585.8703980218706
193,2024-02-01,2024-02-01,7,"Transport, communications and information services",72202,2024,2,71747.30420241013,71638.66666666666,-913.483615249439
194,2024-03-01,2024-03-01,7,"Transport, communications and information services",71769,2024,3,71051.69222324346,71625.45833333333,-1596.604861541171
195,2024-04-01,2024-04-01,7,"Transport, communications and information services",71559,2024,4,71032.1114940768,71431.08333333333,-1602.5331937383162
196,2024-05-01,2024-05-01,7,"Transport, communications and information services",71460,2024,5,71368.53857741013,71219.41666666667,-1251.4563908668206
