Wage_Date,MIP_sector_id,MIP_sector_name,Count_Workers,Total_Workers,Share
2009-01-01,5,Construction,53750,401547,13.39
2009-01-01,6,"Wholesale and retail trade, accommodation and food services",79154,401547,19.71
2009-01-01,7,"Transport, communications and information services",41791,401547,10.41
2009-01-01,8,Financial intermediation,16976,401547,4.23
2009-01-01,9,Real estate and housing services,3962,401547,0.99
2009-01-01,10,Business services,55924,401547,13.93
2009-01-01,11,Personal services,57957,401547,14.43
2009-01-01,12,Public administration,4960,401547,1.24
2009-02-01,1,"Agriculture, forestry and fishing",34320,404940,8.48
2009-02-01,2,Mining,6015,404940,1.49
2009-02-01,3,Manufacturing,46942,404940,11.59
2009-02-01,4,"Electricity, gas, water and waste management",3454,404940,0.85
2009-02-01,5,Construction,53784,404940,13.28
2009-02-01,6,"Wholesale and retail trade, accommodation and food services",80374,404940,19.85
2009-02-01,7,"Transport, communications and information services",42459,404940,10.49
2009-02-01,8,Financial intermediation,16793,404940,4.15
2009-02-01,9,Real estate and housing services,4053,404940,1.0
2009-02-01,10,Business services,56514,404940,13.96
2009-02-01,11,Personal services,57782,404940,14.27
2009-02-01,12,Public administration,5012,404940,1.24
2009-03-01,1,"Agriculture, forestry and fishing",33542,407459,8.23
2009-03-01,2,Mining,5805,407459,1.42
2009-03-01,3,Manufacturing,47437,407459,11.64
2009-03-01,4,"Electricity, gas, water and waste management",3404,407459,0.84
2009-03-01,5,Construction,53644,407459,13.17
2009-03-01,6,"Wholesale and retail trade, accommodation and food services",81135,407459,19.91
2009-03-01,7,"Transport, communications and information services",42421,407459,10.41
2009-03-01,8,Financial intermediation,17391,407459,4.27
2009-03-01,9,Real estate and housing services,4141,407459,1.02
2009-03-01,10,Business services,56525,407459,13.87
2009-03-01,11,Personal services,59972,407459,14.72
2009-03-01,12,Public administration,5022,407459,1.23
2009-04-01,1,"Agriculture, forestry and fishing",29614,404502,7.32
2009-04-01,2,Mining,5984,404502,1.48
2009-04-01,3,Manufacturing,47203,404502,11.67
2009-04-01,4,"Electricity, gas, water and waste management",3476,404502,0.86
2009-04-01,5,Construction,52860,404502,13.07
2009-04-01,6,"Wholesale and retail trade, accommodation and food services",81629,404502,20.18
2009-04-01,7,"Transport, communications and information services",42213,404502,10.44
2009-04-01,8,Financial intermediation,17495,404502,4.33
2009-04-01,9,Real estate and housing services,4206,404502,1.04
2009-04-01,10,Business services,56425,404502,13.95
2009-04-01,11,Personal services,61131,404502,15.11
2009-04-01,12,Public administration,5366,404502,1.33
2009-05-01,1,"Agriculture, forestry and fishing",26605,402497,6.61
2009-05-01,2,Mining,6015,402497,1.49
2009-05-01,3,Manufacturing,46899,402497,11.65
2009-05-01,4,"Electricity, gas, water and waste management",3473,402497,0.86
2009-05-01,5,Construction,52967,402497,13.16
